Kecamatan,Laki-laki,Perempuan
Sukasari,10387,9557
Coblong,16065,14365
Babakan Ciparay,21777,17699
Bojongloa Kaler,18280,17102
Andir,13540,12957
Cicendo,13236,12182
Sukajadi,14208,13534
Cidadap,7650,7016
Bandung Wetan,3624,3418
Astana Anyar,9743,9253
Regol,10650,9882
Batununggal,16793,16007
Lengkong,9091,8620
Cibeunying Kidul,15871,14915
Bandung Kulon,20210,16524
Kiaracondong,18528,17417
Bojongloa Kidul,12998,11460
Cibeunying Kaler,9448,9007
Sumur Bandung,4983,4876
Antapani,10831,10220
Bandung Kidul,8662,8118
Buah Batu,14467,13367
Rancasari,12077,11452
Arcamanik,11171,10664
Cibiru,11329,10464
Ujungberung,13339,12578
Gedebage,6175,4835
Panyileukan,5304,5133
Cinambo,3731,3532
Mandalajati,10939,10011
